Date,10YYSS
8/8/2016,11.715
8/5/2016,11.999
8/4/2016,11.999
8/3/2016,12.225
8/2/2016,11.757
8/1/2016,11.527
7/29/2016,11.637
7/28/2016,11.318
7/27/2016,10.122
7/26/2016,10.67
7/25/2016,9.791
7/22/2016,9.636
7/21/2016,10.753
7/20/2016,13.789
7/19/2016,14.192
7/18/2016,15.64
7/15/2016,15.28
7/14/2016,15.862
7/13/2016,15.035
7/12/2016,12.918
7/11/2016,12.127
7/8/2016,12.246
7/7/2016,10.975
7/6/2016,9.617
7/5/2016,9.233
7/4/2016,10.606
7/1/2016,10.606
6/30/2016,11.741
6/29/2016,12.411
6/28/2016,12.719
6/27/2016,13.256
6/24/2016,13.1
6/23/2016,12.935
6/22/2016,12.978
6/21/2016,12.66
6/20/2016,12.84
6/17/2016,13.036
6/16/2016,13.818
6/15/2016,13.38
6/14/2016,13.434
6/13/2016,13.377
6/10/2016,12.972
6/9/2016,13.573
6/8/2016,13.697
6/7/2016,13.151
6/6/2016,10.977
6/3/2016,13.764
6/2/2016,13.326
6/1/2016,13.973
5/31/2016,14.742
5/30/2016,14.421
5/27/2016,14.421
5/26/2016,14.361
5/25/2016,14.625
5/24/2016,14.207
5/23/2016,14.138
5/20/2016,14.308
5/19/2016,14.28
5/18/2016,14.828
5/17/2016,16.132
5/16/2016,16.641
5/13/2016,15.816
5/12/2016,17.029
5/11/2016,17.201
5/10/2016,17.432
5/9/2016,17.676
5/6/2016,16.535
5/5/2016,15.894
5/4/2016,14.498
5/3/2016,13.194
5/2/2016,12.936
4/29/2016,13.241
4/28/2016,14.358
4/27/2016,14.165
4/26/2016,15.347
4/25/2016,14.933
4/22/2016,14.814
4/21/2016,14.973
4/20/2016,14.22
4/19/2016,14.715
4/18/2016,15.573
4/15/2016,15.523
4/14/2016,15.281
4/13/2016,14.932
4/12/2016,14.642
4/11/2016,13.424
4/8/2016,12.713
4/7/2016,14.196
4/6/2016,13.862
4/5/2016,14.271
4/4/2016,13.682
4/1/2016,13.12
3/31/2016,14.551
3/30/2016,15.375
3/29/2016,13.511
3/28/2016,13.617
3/25/2016,14
3/24/2016,14
3/23/2016,15.349
3/22/2016,15.968
3/21/2016,16.674
3/18/2016,17.271
3/17/2016,16.929
3/16/2016,16.204
3/15/2016,16.125
3/14/2016,16.121
3/11/2016,16.122
3/10/2016,16.952
3/9/2016,16.565
3/8/2016,15.493
3/7/2016,15.473
3/4/2016,15.232
3/3/2016,15.505
3/2/2016,15.954
3/1/2016,17.446
2/29/2016,16.183
2/26/2016,17.188
2/25/2016,17.11
2/24/2016,15.949
2/23/2016,14.933
2/22/2016,15.163
2/19/2016,14.244
2/18/2016,13.959
2/17/2016,16.828
2/16/2016,17.482
2/15/2016,16.176
2/12/2016,16.176
2/11/2016,17.754
2/10/2016,13.944
2/9/2016,11.748
2/8/2016,8.515
2/5/2016,10.629
2/4/2016,12.692
2/3/2016,16.078
2/2/2016,14.047
2/1/2016,14.216
1/29/2016,13.894
1/28/2016,13.248
1/27/2016,13.166
1/26/2016,14.819
1/25/2016,14.4
1/22/2016,15.14
1/21/2016,14.599
1/20/2016,15.253
1/19/2016,16.242
1/18/2016,16.128
1/15/2016,16.128
1/14/2016,17.527
1/13/2016,15.51
1/12/2016,16.4
1/11/2016,16.566
1/8/2016,16.005
1/7/2016,11.698
1/6/2016,10.522
1/5/2016,10.132
1/4/2016,8.512
1/1/2016,9.54
12/31/2015,9.54
12/30/2015,9.095
12/29/2015,8.259
12/25/2015,7.827
12/24/2015,7.827
12/23/2015,7.929
12/22/2015,6.455
12/21/2015,5.926
12/18/2015,6.498
12/17/2015,8.745
12/16/2015,9.342
12/15/2015,9.861
12/14/2015,10.027
12/11/2015,5.967
12/10/2015,8.071
12/9/2015,10.658
12/8/2015,10.883
12/7/2015,11.077
12/4/2015,11.351
12/3/2015,12.336
12/2/2015,11.113
12/1/2015,12.951
11/30/2015,14.983
11/27/2015,13.968
11/26/2015,13.94
11/25/2015,13.94
11/24/2015,12.963
11/23/2015,15.197
11/20/2015,17.18
11/19/2015,16.541
11/18/2015,14.16
11/17/2015,12.943
11/16/2015,11.476
11/13/2015,14.853
11/12/2015,13.963
11/11/2015,12.549
11/10/2015,12.549
11/9/2015,12.784
11/6/2015,11.482
11/5/2015,15.403
11/4/2015,13.451
11/3/2015,11.271
11/2/2015,9.818
10/30/2015,9.846
10/29/2015,9.133
10/28/2015,8.105
10/27/2015,7.453
10/26/2015,8.21
10/23/2015,6.27
10/22/2015,5.015
10/21/2015,4.969
10/20/2015,5.276
10/19/2015,5.003
10/16/2015,5.551
10/15/2015,6.544
10/14/2015,6.795
10/13/2015,4.335
10/12/2015,3.203
10/9/2015,3.203
10/8/2015,3.206
10/7/2015,3.145
10/6/2015,2.3
10/5/2015,2.193
10/2/2015,2.397
10/1/2015,2.452
9/30/2015,5.773
9/29/2015,6.444
9/28/2015,5.005
9/25/2015,3.218
9/24/2015,1.334
9/23/2015,1.376
9/22/2015,0.58
9/21/2015,0.624
9/18/2015,-2.026
9/17/2015,-1.008
9/16/2015,-0.51
9/15/2015,-1.355
9/14/2015,-2.599
9/11/2015,-1.65
9/10/2015,-0.022
9/9/2015,-0.495
9/8/2015,-2.749
9/7/2015,-4.46
9/4/2015,-4.46
9/3/2015,-5.206
9/2/2015,-4.356
9/1/2015,-3.363
8/31/2015,-5.139
8/28/2015,-5.477
8/27/2015,-5.816
8/26/2015,-4.861
8/25/2015,-6.112
8/24/2015,-6.79
8/21/2015,-7.391
8/20/2015,-7.783
8/19/2015,-7.631
8/18/2015,-6.999
8/17/2015,-9.081
8/14/2015,-5.132
8/13/2015,-5.604
8/12/2015,-6.557
8/11/2015,-6.703
8/10/2015,-6.453
8/7/2015,-7.383
8/6/2015,-7.127
8/5/2015,-7.15
8/4/2015,-6.963
8/3/2015,-6.848
7/31/2015,-6.852
7/30/2015,-6.607
7/29/2015,-6.509
7/28/2015,-6.551
7/27/2015,-6.921
7/24/2015,-6.819
7/23/2015,-6.706
7/22/2015,-7.429
7/21/2015,-6.851
7/20/2015,-6.911
7/17/2015,-7.363
7/16/2015,-6.526
7/15/2015,-6.603
7/14/2015,-6.312
7/13/2015,-7.285
7/10/2015,-7.695
7/9/2015,-9.007
7/8/2015,-10.519
7/7/2015,-11.095
7/6/2015,-10.808
7/3/2015,-9.67
7/2/2015,-9.756
7/1/2015,-8.767
6/30/2015,-9.843
6/29/2015,-9.515
6/26/2015,-7.906
6/25/2015,-8.501
6/24/2015,-8.307
6/23/2015,-7.63
6/22/2015,-7.113
6/19/2015,-7.259
6/18/2015,-6.704
6/17/2015,-7.943
6/16/2015,-7.848
6/15/2015,-7.162
6/12/2015,-7.143
6/11/2015,-6.99
6/10/2015,-7.029
6/9/2015,-7.223
6/8/2015,-7.277
6/5/2015,-7.783
6/4/2015,-7.52
6/3/2015,-7.371
6/2/2015,-7.005
6/1/2015,-7.683
5/29/2015,-8.657
5/28/2015,-7.849
5/27/2015,-7.407
5/26/2015,-7.871
5/25/2015,-6.474
5/22/2015,-6.474
5/21/2015,-5.186
5/20/2015,-3.754
5/19/2015,-7.015
5/18/2015,-4.308
5/15/2015,-5.466
5/14/2015,-2.671
5/13/2015,-3.808
5/12/2015,-5.272
5/11/2015,-5.216
5/8/2015,-6.02
5/7/2015,-6.28
5/6/2015,-6.605
5/5/2015,-7.063
5/4/2015,-7.524
5/1/2015,-7.535
4/30/2015,-7.114
4/29/2015,-6.413
4/28/2015,-6.977
4/27/2015,-7.225
4/24/2015,-6.669
4/23/2015,-5.655
4/22/2015,-6.22
4/21/2015,-6.622
4/20/2015,-7.339
4/17/2015,-7.843
4/16/2015,-7.317
4/15/2015,-7.629
4/14/2015,-7.424
4/13/2015,-7.476
4/10/2015,-8.538
4/9/2015,-8.106
4/8/2015,-8.627
4/7/2015,-9.284
4/6/2015,-10.245
4/3/2015,-10.355
4/2/2015,-9.548
4/1/2015,-9.714
3/31/2015,-9.333
3/30/2015,-8.718
3/27/2015,-8.559
3/26/2015,-8.628
3/25/2015,-8.775
3/24/2015,-8.892
3/23/2015,-8.923
3/20/2015,-9.421
3/19/2015,-7.654
3/18/2015,-9.066
3/17/2015,-10.031
3/16/2015,-10.544
3/13/2015,-11.033
3/12/2015,-10.673
3/11/2015,-11.362
3/10/2015,-11.232
3/9/2015,-10.585
3/6/2015,-11.003
3/5/2015,-11.613
3/4/2015,-11.935
3/3/2015,-11.981
3/2/2015,-12.194
2/27/2015,-12.484
2/26/2015,-12.244
2/25/2015,-12.81
2/24/2015,-13.469
2/23/2015,-13.287
2/20/2015,-12.722
2/19/2015,-13.097
2/18/2015,-12.785
2/17/2015,-12.549
2/16/2015,-10.413
2/13/2015,-10.413
2/12/2015,-10.921
2/11/2015,-11.664
2/10/2015,-12.351
2/9/2015,-12.461
2/6/2015,-12.44
2/5/2015,-11.908
2/4/2015,-12.452
2/3/2015,-12.584
2/2/2015,-12.055
1/30/2015,-12.717
1/29/2015,-12.399
1/28/2015,-13.139
1/27/2015,-13.444
1/26/2015,-13.224
1/23/2015,-13.204
1/22/2015,-12.02
1/21/2015,-12.402
1/20/2015,-11.659
1/19/2015,-10.335
1/16/2015,-10.335
1/15/2015,-10.231
1/14/2015,-10.102
1/13/2015,-10.14
1/12/2015,-10.523
1/9/2015,-10.83
1/8/2015,-10.73
1/7/2015,-10.445
1/6/2015,-9.59
1/5/2015,-10.213
1/2/2015,-10.554
1/1/2015,-10.278
12/31/2014,-10.278
12/30/2014,-10.042
12/29/2014,-10.767
12/26/2014,-11.034
12/25/2014,-11.42
12/24/2014,-11.42
12/23/2014,-11.237
12/22/2014,-12.262
12/19/2014,-12.301
12/18/2014,-11.792
12/17/2014,-11.599
12/16/2014,-11.969
12/15/2014,-12.013
12/12/2014,-11.943
12/11/2014,-11.314
12/10/2014,-10.773
12/9/2014,-11.297
12/8/2014,-11.322
12/5/2014,-10.692
12/4/2014,-11.174
12/3/2014,-12.335
12/2/2014,-12.345
12/1/2014,-12.615
11/28/2014,-12.795
11/27/2014,-12.596
11/26/2014,-12.596
11/25/2014,-12.215
11/24/2014,-11.803
11/21/2014,-11.856
11/20/2014,-11.715
11/19/2014,-9.507
11/18/2014,-9.654
11/17/2014,-10.034
11/14/2014,-10.216
11/13/2014,-9.712
11/12/2014,-10.556
11/11/2014,-11.293
11/10/2014,-11.293
11/7/2014,-11.687
11/6/2014,-11.686
11/5/2014,-12.451
11/4/2014,-11.985
11/3/2014,-11.921
10/31/2014,-12.509
10/30/2014,-12.127
10/29/2014,-12.223
10/28/2014,-12.31
